Synonymous Differences
,CP050675_1:1693009-1694659-,CP076879_1:18799-20449+,CP076942_1:18796-20446+,CP076970_1:18797-20447+,CP076984_1:1712586-1714236-,CP076981_1:16923-18573+,CP126449_2:1672409-1674059-,CP060341_1:18961-20611+,CP126635_2:1539596-1541246-
CP050675_1:1693009-1694659-,0,26,26,26,26,26,26,26,26
CP076879_1:18799-20449+,26,0,0,0,0,0,0,0,0
CP076942_1:18796-20446+,26,0,0,0,0,0,0,0,0
CP076970_1:18797-20447+,26,0,0,0,0,0,0,0,0
CP076984_1:1712586-1714236-,26,0,0,0,0,0,0,0,0
CP076981_1:16923-18573+,26,0,0,0,0,0,0,0,0
CP126449_2:1672409-1674059-,26,0,0,0,0,0,0,0,0
CP060341_1:18961-20611+,26,0,0,0,0,0,0,0,0
CP126635_2:1539596-1541246-,26,0,0,0,0,0,0,0,0

Nonsynonymous Differences
,CP050675_1:1693009-1694659-,CP076879_1:18799-20449+,CP076942_1:18796-20446+,CP076970_1:18797-20447+,CP076984_1:1712586-1714236-,CP076981_1:16923-18573+,CP126449_2:1672409-1674059-,CP060341_1:18961-20611+,CP126635_2:1539596-1541246-
CP050675_1:1693009-1694659-,0,20,20,20,20,20,20,20,21
CP076879_1:18799-20449+,20,0,0,0,0,0,0,0,3
CP076942_1:18796-20446+,20,0,0,0,0,0,0,0,3
CP076970_1:18797-20447+,20,0,0,0,0,0,0,0,3
CP076984_1:1712586-1714236-,20,0,0,0,0,0,0,0,3
CP076981_1:16923-18573+,20,0,0,0,0,0,0,0,3
CP126449_2:1672409-1674059-,20,0,0,0,0,0,0,0,3
CP060341_1:18961-20611+,20,0,0,0,0,0,0,0,3
CP126635_2:1539596-1541246-,21,3,3,3,3,3,3,3,0

Omega (dN/dS)
,CP050675_1:1693009-1694659-,CP076879_1:18799-20449+,CP076942_1:18796-20446+,CP076970_1:18797-20447+,CP076984_1:1712586-1714236-,CP076981_1:16923-18573+,CP126449_2:1672409-1674059-,CP060341_1:18961-20611+,CP126635_2:1539596-1541246-
CP050675_1:1693009-1694659-,,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.808
CP076879_1:18799-20449+,0.769,,0,0,0,0,0,0,Inf
CP076942_1:18796-20446+,0.769,0,,0,0,0,0,0,Inf
CP076970_1:18797-20447+,0.769,0,0,,0,0,0,0,Inf
CP076984_1:1712586-1714236-,0.769,0,0,0,,0,0,0,Inf
CP076981_1:16923-18573+,0.769,0,0,0,0,,0,0,Inf
CP126449_2:1672409-1674059-,0.769,0,0,0,0,0,,0,Inf
CP060341_1:18961-20611+,0.769,0,0,0,0,0,0,,Inf
CP126635_2:1539596-1541246-,0.808,Inf,Inf,Inf,Inf,Inf,Inf,Inf,

