Synonymous Differences
,MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,JAJMCQ010004863_1:1-1030-,JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,ANFW02000036_1:21692-23066+,MTJM01000036_1:21699-23073+,JAQFWG010000265_1:15113-16487-_JAQFWG010000265.1:15113-16487-,VFXK01000003_1:1226588-1227962-_VFXK01000003.1:1226588-1227962-,NISE01000004_1:427619-428993+_NISE01000004.1:427619-428993+,VFXK01000004_1:1367746-1369120+_VFXK01000004.1:1367746-1369120+,JAJMCQ010000818_1:6611-7955-,JACBPP010000001_1:1312154-1313528+_JACBPP010000001.1:1312154-1313528+,ANFW02000072_1:275819-276881-_ANFW02000072.1:275819-276881-,JAJMIQ010000041_1:10898-11090-_JAJMIQ010000041.1:10898-11090-,MTJM01000072_1:276015-277077-_MTJM01000072.1:276015-277077-,JAJMCQ010005592_1:0-48+,JAJMCQ010002651_1:0-48+,JAJMIQ010000041_1:11383-12343-_JAJMIQ010000041.1:11383-12343-,JAKTYT010002041_1:2-836+,JAJMIJ010000392_1:4594-5968+,JAKTYT010006626_1:142-799+,JAKTYT010005670_1:134-968-,JAKTUL010000268_1:4750-6124+,MTJM01000008_1:0-1059-,ANFW02000008_1:0-1059-
MTJM01000072_1:277049-277118-_MTJM01000072.1:277049-277118-,0,0,2,0,0,0,2,2,2,2,2,2,2,2,5,3,2,3,0,3,0,0,2,0,2,3,0,3,3,3
ANFW02000072_1:276853-276922-_ANFW02000072.1:276853-276922-,0,0,2,0,0,0,2,2,2,2,2,2,2,2,5,3,2,3,0,3,0,0,2,0,2,3,0,3,3,3
VFXK01000004_1:1354892-1355060-_VFXK01000004.1:1354892-1355060-,2,2,0,0,0,0,7,7,7,7,7,7,9,5,6,6,7,3,0,3,0,0,5,0,7,7,0,7,7,7
VFXK01000004_1:1354152-1354581-_VFXK01000004.1:1354152-1354581-,0,0,0,0,0,0,18,28,28,28,28,31,31,28,28,22,26,30,2,29,0,0,9,29,31,0,28,30,20,20
VFXK01000004_1:1354550-1354781-_VFXK01000004.1:1354550-1354781-,0,0,0,0,0,3,6,8,8,10,10,9,9,9,9,9,8,10,3,10,3,3,7,10,9,1,10,10,7,7
VFXK01000004_1:1353995-1354142-_VFXK01000004.1:1353995-1354142-,0,0,0,0,3,0,0,13,13,13,13,13,15,14,11,11,13,13,13,13,3,3,0,13,13,0,13,13,0,0
JAJMCQ010004863_1:1-1030-,2,2,7,18,6,0,0,12,12,13,12,12,13,13,31,53,8,12,0,12,0,0,12,6,18,12,8,14,14,14
JAJMHS010000047_1:13373-14747+_JAJMHS010000047.1:13373-14747+,2,2,7,28,8,13,12,0,0,11,11,14,16,16,36,79,17,9,3,8,0,0,10,10,18,8,14,11,7,7
JAKTYM010000112_1:13624-14998+_JAKTYM010000112.1:13624-14998+,2,2,7,28,8,13,12,0,0,11,11,14,16,16,36,79,17,9,3,8,0,0,10,10,18,8,14,11,7,7
ANFW02000036_1:21692-23066+,2,2,7,28,10,13,13,11,11,0,6,11,22,17,38,77,15,4,4,5,0,0,13,12,21,8,12,3,1,1
