Synonymous Differences
,JAKTYT010005082_1:0-258+,VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,JAKTUL010000135_1:1408-2365-,ANFW02000008_1:5393-6350-,JAKTUL010000268_1:2-416+,JAJMHS010000047_1:8107-9064+,JAKTYM010000112_1:8358-9315+,JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,MTJM01000008_1:5391-6348-,MTJM01000036_1:16408-17365+,JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,ANFW02000036_1:16403-17360+,NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,JAJMIJ010000102_1:1-880-,JAJMIJ010000392_1:0-276+
JAKTYT010005082_1:0-258+,0,15,2,2,2,3,3,3,4,0,3,4,2,2,4,4,0,2,2
VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,15,0,39,39,20,36,36,36,36,39,37,40,37,37,42,37,33,35,15
JAKTUL010000135_1:1408-2365-,2,39,0,0,0,19,19,17,11,17,24,21,17,18,21,18,20,18,2
ANFW02000008_1:5393-6350-,2,39,0,0,0,19,19,17,11,17,24,21,17,18,21,18,20,18,2
JAKTUL010000268_1:2-416+,2,20,0,0,0,8,8,8,7,8,12,10,9,7,9,9,5,5,2
JAJMHS010000047_1:8107-9064+,3,36,19,19,8,0,0,6,19,18,11,22,15,13,21,17,14,15,1
JAKTYM010000112_1:8358-9315+,3,36,19,19,8,0,0,6,19,18,11,22,15,13,21,17,14,15,1
JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,3,36,17,17,8,6,6,0,19,18,13,22,17,13,21,17,13,15,1
MTJM01000008_1:5391-6348-,4,36,11,11,7,19,19,19,0,15,18,11,17,16,16,12,16,17,4
MTJM01000036_1:16408-17365+,0,39,17,17,8,18,18,18,15,0,11,14,15,9,14,11,14,14,2
JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,3,37,24,24,12,11,11,13,18,11,0,19,15,10,17,14,15,15,3
JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,4,40,21,21,10,22,22,22,11,14,19,0,18,17,17,15,13,18,6
JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,2,37,17,17,9,15,15,17,17,15,15,18,0,16,18,19,17,16,5
VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,2,37,18,18,7,13,13,13,16,9,10,17,16,0,14,6,13,12,2
ANFW02000036_1:16403-17360+,4,42,21,21,9,21,21,21,16,14,17,17,18,14,0,18,11,17,4
NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,4,37,18,18,9,17,17,17,12,11,14,15,19,6,18,0,15,14,4
JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,0,33,20,20,5,14,14,13,16,14,15,13,17,13,11,15,0,18,1
JAJMIJ010000102_1:1-880-,2,35,18,18,5,15,15,15,17,14,15,18,16,12,17,14,18,0,0
JAJMIJ010000392_1:0-276+,2,15,2,2,2,1,1,1,4,2,3,6,5,2,4,4,1,0,0

Nonsynonymous Differences
,JAKTYT010005082_1:0-258+,VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,JAKTUL010000135_1:1408-2365-,ANFW02000008_1:5393-6350-,JAKTUL010000268_1:2-416+,JAJMHS010000047_1:8107-9064+,JAKTYM010000112_1:8358-9315+,JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,MTJM01000008_1:5391-6348-,MTJM01000036_1:16408-17365+,JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,ANFW02000036_1:16403-17360+,NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,JAJMIJ010000102_1:1-880-,JAJMIJ010000392_1:0-276+
JAKTYT010005082_1:0-258+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,1,0,7,7,2,8,8,8,9,11,10,10,12,10,10,9,9,10,1
JAKTUL010000135_1:1408-2365-,0,7,0,0,0,2,2,2,3,5,4,4,6,4,4,3,4,4,0
ANFW02000008_1:5393-6350-,0,7,0,0,0,2,2,2,3,5,4,4,6,4,4,3,4,4,0
JAKTUL010000268_1:2-416+,0,2,0,0,0,1,1,1,1,1,2,3,1,2,3,2,2,2,0
JAJMHS010000047_1:8107-9064+,0,8,2,2,1,0,0,0,1,3,2,2,4,2,2,1,2,2,0
JAKTYM010000112_1:8358-9315+,0,8,2,2,1,0,0,0,1,3,2,2,4,2,2,1,2,2,0
JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,0,8,2,2,1,0,0,0,1,3,2,2,4,2,2,1,2,2,0
MTJM01000008_1:5391-6348-,0,9,3,3,1,1,1,1,0,3,3,3,5,3,3,2,3,3,0
MTJM01000036_1:16408-17365+,0,11,5,5,1,3,3,3,3,0,5,5,7,5,5,4,5,5,0
JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,0,10,4,4,2,2,2,2,3,5,0,2,6,2,2,1,4,2,0
JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,0,10,4,4,3,2,2,2,3,5,2,0,6,2,2,1,4,2,0
JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,0,12,6,6,1,4,4,4,5,7,6,6,0,6,6,5,6,6,0
VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,0,10,4,4,2,2,2,2,3,5,2,2,6,0,2,1,4,2,0
ANFW02000036_1:16403-17360+,0,10,4,4,3,2,2,2,3,5,2,2,6,2,0,1,4,2,0
NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,0,9,3,3,2,1,1,1,2,4,1,1,5,1,1,0,3,1,0
JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,0,9,4,4,2,2,2,2,3,5,4,4,6,4,4,3,0,4,0
JAJMIJ010000102_1:1-880-,0,10,4,4,2,2,2,2,3,5,2,2,6,2,2,1,4,0,0
JAJMIJ010000392_1:0-276+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Omega (dN/dS)
,JAKTYT010005082_1:0-258+,VFXK01000004_1:1362455-1363412+_VFXK01000004.1:1362455-1363412+,JAKTUL010000135_1:1408-2365-,ANFW02000008_1:5393-6350-,JAKTUL010000268_1:2-416+,JAJMHS010000047_1:8107-9064+,JAKTYM010000112_1:8358-9315+,JAJMCQ010000089_1:12619-13576-_JAJMCQ010000089.1:12619-13576-,MTJM01000008_1:5391-6348-,MTJM01000036_1:16408-17365+,JAJMIQ010000041_1:16746-17703-_JAJMIQ010000041.1:16746-17703-,JAQFWG010000265_1:20821-21778-_JAQFWG010000265.1:20821-21778-,JACBPP010000001_1:1306863-1307820+_JACBPP010000001.1:1306863-1307820+,VFXK01000003_1:1232296-1233253-_VFXK01000003.1:1232296-1233253-,ANFW02000036_1:16403-17360+,NISE01000004_1:422329-423286+_NISE01000004.1:422329-423286+,JAKTYT010000049_1:13743-14562+_JAKTYT010000049.1:13743-14562+,JAJMIJ010000102_1:1-880-,JAJMIJ010000392_1:0-276+
