Synonymous Differences
,ANFW02000036_1:20724-21084-,ANFW02000036_1:19645-20770-,VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,MTJM01000036_1:19651-21091-,JAJMIJ010000392_1:2545-3985-,JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,JAKTYT010000725_1:318-1755-,JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,JAKTUL010000268_1:2702-4142-,JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,ANFW02000008_1:1667-3107+,MTJM01000008_1:1667-3107+
ANFW02000036_1:20724-21084-,0,3,16,8,8,8,5,2,8,9,8,8,10,4,8,10,7
ANFW02000036_1:19645-20770-,3,0,45,17,17,16,22,11,16,19,21,15,25,14,17,17,14
VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,16,45,0,58,58,62,62,56,56,57,59,55,62,61,62,62,59
JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,8,17,58,0,0,19,28,25,21,23,23,24,31,27,24,24,20
JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,8,17,58,0,0,19,28,25,21,23,23,24,31,27,24,24,20
JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,8,16,62,19,19,0,26,25,25,22,29,24,34,24,20,20,19
VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,5,22,62,28,28,26,0,22,19,18,30,21,28,24,20,23,21
MTJM01000036_1:19651-21091-,2,11,56,25,25,25,22,0,16,22,28,25,25,21,22,26,20
JAJMIJ010000392_1:2545-3985-,8,16,56,21,21,25,19,16,0,19,27,21,21,28,21,25,23
JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,9,19,57,23,23,22,18,22,19,0,27,21,22,29,18,25,23
NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,8,21,59,23,23,29,30,28,27,27,0,26,33,30,29,31,27
JAKTYT010000725_1:318-1755-,8,15,55,24,24,24,21,25,21,21,26,0,23,15,20,16,20
JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,10,25,62,31,31,34,28,25,21,22,33,23,0,31,22,27,31
JAKTUL010000268_1:2702-4142-,4,14,61,27,27,24,24,21,28,29,30,15,31,0,15,9,13
JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,8,17,62,24,24,20,20,22,21,18,29,20,22,15,0,8,8
ANFW02000008_1:1667-3107+,10,17,62,24,24,20,23,26,25,25,31,16,27,9,8,0,6
MTJM01000008_1:1667-3107+,7,14,59,20,20,19,21,20,23,23,27,20,31,13,8,6,0

Nonsynonymous Differences
,ANFW02000036_1:20724-21084-,ANFW02000036_1:19645-20770-,VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,MTJM01000036_1:19651-21091-,JAJMIJ010000392_1:2545-3985-,JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,JAKTYT010000725_1:318-1755-,JAJMIQ010000041_1:12950-14390+_JAJMIQ010000041.1:12950-14390+,JAKTUL010000268_1:2702-4142-,JAQFWG010000265_1:17095-18535+_JAQFWG010000265.1:17095-18535+,ANFW02000008_1:1667-3107+,MTJM01000008_1:1667-3107+
ANFW02000036_1:20724-21084-,0,11,8,8,8,7,5,6,6,8,8,8,7,5,7,7,6
ANFW02000036_1:19645-20770-,11,0,14,16,16,15,13,13,12,12,10,11,12,10,12,12,12
VFXK01000004_1:1365699-1367139-_VFXK01000004.1:1365699-1367139-,8,14,0,15,15,13,12,16,9,11,10,10,10,11,10,10,11
JAJMHS010000047_1:11325-12765-_JAJMHS010000047.1:11325-12765-,8,16,15,0,0,12,13,16,8,8,10,9,9,13,11,9,10
JAKTYM010000112_1:11576-13016-_JAKTYM010000112.1:11576-13016-,8,16,15,0,0,12,13,16,8,8,10,9,9,13,11,9,10
JAJMCQ010000089_1:8859-10299+_JAJMCQ010000089.1:8859-10299+,7,15,13,12,12,0,11,15,8,10,10,9,9,11,9,9,10
VFXK01000003_1:1228570-1230010+_VFXK01000003.1:1228570-1230010+,5,13,12,13,13,11,0,12,7,9,9,8,8,7,8,8,7
MTJM01000036_1:19651-21091-,6,13,16,16,16,15,12,0,11,12,12,11,11,11,11,10,9
JAJMIJ010000392_1:2545-3985-,6,12,9,8,8,8,7,11,0,6,6,5,5,7,5,5,6
JACBPP010000001_1:1310106-1311546-_JACBPP010000001.1:1310106-1311546-,8,12,11,8,8,10,9,12,6,0,4,5,5,9,7,5,6
NISE01000004_1:425571-427011-_NISE01000004.1:425571-427011-,8,10,10,10,10,10,9,12,6,4,0,5,5,7,7,5,6
JAKTYT010000725_1:318-1755-,8,11,10,9,9,9,8,11,5,5,5,0,4,8,6,4,5
