Synonymous Differences
,CP076879_1:20470-21730-,CP076942_1:20467-21727-,CP076970_1:20468-21728-,CP076984_1:1711305-1712565+,CP076981_1:18594-19854-,CP126449_2:1671128-1672388+,CP060341_1:20632-21892-,CP126635_2:1538315-1539575+,CP050675_1:1691728-1692988+,CP076879_1:21782-21911-,CP076942_1:21779-21908-,CP076970_1:21780-21909-,CP076984_1:1711124-1711253+,CP076981_1:19906-20035-,CP126449_2:1670947-1671076+,CP060341_1:21944-22073-,CP126635_2:1538134-1538263+,CP050675_1:1691547-1691700+
CP076879_1:20470-21730-,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP076942_1:20467-21727-,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP076970_1:20468-21728-,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP076984_1:1711305-1712565+,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP076981_1:18594-19854-,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP126449_2:1671128-1672388+,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP060341_1:20632-21892-,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP126635_2:1538315-1539575+,0,0,0,0,0,0,0,0,11,5,5,5,5,5,5,5,5,8
CP050675_1:1691728-1692988+,11,11,11,11,11,11,11,11,0,5,5,5,5,5,5,5,5,8
CP076879_1:21782-21911-,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP076942_1:21779-21908-,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP076970_1:21780-21909-,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP076984_1:1711124-1711253+,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP076981_1:19906-20035-,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP126449_2:1670947-1671076+,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP060341_1:21944-22073-,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1
CP126635_2:1538134-1538263+,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
CP050675_1:1691547-1691700+,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,0,0

Nonsynonymous Differences
,CP076879_1:20470-21730-,CP076942_1:20467-21727-,CP076970_1:20468-21728-,CP076984_1:1711305-1712565+,CP076981_1:18594-19854-,CP126449_2:1671128-1672388+,CP060341_1:20632-21892-,CP126635_2:1538315-1539575+,CP050675_1:1691728-1692988+,CP076879_1:21782-21911-,CP076942_1:21779-21908-,CP076970_1:21780-21909-,CP076984_1:1711124-1711253+,CP076981_1:19906-20035-,CP126449_2:1670947-1671076+,CP060341_1:21944-22073-,CP126635_2:1538134-1538263+,CP050675_1:1691547-1691700+
CP076879_1:20470-21730-,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP076942_1:20467-21727-,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP076970_1:20468-21728-,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP076984_1:1711305-1712565+,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP076981_1:18594-19854-,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP126449_2:1671128-1672388+,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP060341_1:20632-21892-,0,0,0,0,0,0,0,1,10,32,32,32,32,32,32,32,32,37
CP126635_2:1538315-1539575+,1,1,1,1,1,1,1,0,9,32,32,32,32,32,32,32,32,37
