Synonymous Differences
,JAKTYT010005082_1:271-1099-,JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,JAKTYT010005553_1:438-990+,JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,MTJM01000008_1:3737-5378+,JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,MTJM01000036_1:17378-19019-,ANFW02000036_1:17373-19014-,JAJMIJ010000392_1:289-1930-,JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,JAKTUL010000268_1:429-2070-,ANFW02000008_1:3739-5380+,JAKTUL010000135_1:0-1395+,VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,JAKTYT010010019_1:1-499-,JAKTYT010010026_1:1-499-
JAKTYT010005082_1:271-1099-,0,14,0,17,16,13,31,8,0,0,13,10,14,20,15,14,14,13,15,13,8,0,0
JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,14,0,11,19,33,35,44,24,12,7,28,27,33,34,33,33,33,31,33,22,10,6,6
JAKTYT010005553_1:438-990+,0,11,0,0,4,5,18,6,6,1,6,2,4,4,8,6,6,5,5,2,0,0,0
JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,17,19,0,0,24,28,40,14,1,0,23,21,31,25,26,28,28,25,27,25,12,9,9
MTJM01000008_1:3737-5378+,16,33,4,24,0,20,61,18,6,1,23,16,23,24,26,27,27,14,8,14,9,5,6
JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,13,35,5,28,20,0,68,21,8,1,30,15,27,32,26,28,28,17,19,17,8,9,6
VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,31,44,18,40,61,68,0,45,21,8,60,58,65,61,56,57,57,61,61,49,16,23,19
VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,8,24,6,14,18,21,45,0,10,1,15,14,21,19,21,27,27,16,16,14,1,8,6
JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,0,12,6,1,6,8,21,10,0,1,11,6,11,13,12,9,9,7,7,3,0,5,3
JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,0,7,1,0,1,1,8,1,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0
NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,13,28,6,23,23,30,60,15,11,3,0,17,26,28,33,33,33,25,27,21,8,9,11
MTJM01000036_1:17378-19019-,10,27,2,21,16,15,58,14,6,0,17,0,15,22,21,19,19,12,14,11,6,6,5
ANFW02000036_1:17373-19014-,14,33,4,31,23,27,65,21,11,0,26,15,0,30,33,25,25,10,16,8,7,9,10
JAJMIJ010000392_1:289-1930-,20,34,4,25,24,32,61,19,13,0,28,22,30,0,31,30,30,29,29,28,10,12,13
JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,15,33,8,26,26,26,56,21,12,1,33,21,33,31,0,30,30,25,26,21,9,9,6
JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,14,33,6,28,27,28,57,27,9,0,33,19,25,30,30,0,0,25,25,24,7,14,12
JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,14,33,6,28,27,28,57,27,9,0,33,19,25,30,30,0,0,25,25,24,7,14,12
JAKTUL010000268_1:429-2070-,13,31,5,25,14,17,61,16,7,1,25,12,10,29,25,25,25,0,6,0,6,7,6
ANFW02000008_1:3739-5380+,15,33,5,27,8,19,61,16,7,1,27,14,16,29,26,25,25,6,0,6,6,7,6
JAKTUL010000135_1:0-1395+,13,22,2,25,14,17,49,14,3,0,21,11,8,28,21,24,24,0,6,0,6,7,6
VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,8,10,0,12,9,8,16,1,0,0,8,6,7,10,9,7,7,6,6,6,0,0,0
JAKTYT010010019_1:1-499-,0,6,0,9,5,9,23,8,5,0,9,6,9,12,9,14,14,7,7,7,0,0,7
JAKTYT010010026_1:1-499-,0,6,0,9,6,6,19,6,3,0,11,5,10,13,6,12,12,6,6,6,0,7,0

Nonsynonymous Differences
,JAKTYT010005082_1:271-1099-,JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,JAKTYT010005553_1:438-990+,JAJMIQ010000041_1:15554-16733+_JAJMIQ010000041.1:15554-16733+,MTJM01000008_1:3737-5378+,JAQFWG010000265_1:19167-20808+_JAQFWG010000265.1:19167-20808+,VFXK01000004_1:1363425-1365060-_VFXK01000004.1:1363425-1365060-,VFXK01000003_1:1230643-1231855+_VFXK01000003.1:1230643-1231855+,JACBPP010000001_1:1308801-1309419-_JACBPP010000001.1:1308801-1309419-,JAJMIQ010000041_1:15021-15189+_JAJMIQ010000041.1:15021-15189+,NISE01000004_1:423299-424940-_NISE01000004.1:423299-424940-,MTJM01000036_1:17378-19019-,ANFW02000036_1:17373-19014-,JAJMIJ010000392_1:289-1930-,JAJMCQ010000089_1:10929-12606+_JAJMCQ010000089.1:10929-12606+,JAKTYM010000112_1:9328-10969-_JAKTYM010000112.1:9328-10969-,JAJMHS010000047_1:9077-10718-_JAJMHS010000047.1:9077-10718-,JAKTUL010000268_1:429-2070-,ANFW02000008_1:3739-5380+,JAKTUL010000135_1:0-1395+,VFXK01000003_1:1231815-1232283+_VFXK01000003.1:1231815-1232283+,JAKTYT010010019_1:1-499-,JAKTYT010010026_1:1-499-
JAKTYT010005082_1:271-1099-,0,3,0,2,3,3,8,12,0,0,3,2,3,3,5,4,4,3,3,3,1,0,0
JACBPP010000001_1:1307833-1308961-_JACBPP010000001.1:1307833-1308961-,3,0,35,3,39,38,42,47,23,30,37,37,39,38,40,39,39,38,38,8,1,0,1
JAKTYT010005553_1:438-990+,0,35,0,0,6,4,5,7,7,2,4,5,6,8,9,5,5,5,5,2,0,0,0
